disease	RR	pubmed_link	rank	snps
Ulcerative colitis	2.3182997102	http://www.ncbi.nlm.nih.gov/pubmed/23128233	***	rs6911490,rs7524102,rs7134599,rs10758669,rs2836878,rs11739663,rs35675666,rs734999,rs17388568,rs6920220,rs2310173,rs267939,rs6451493,rs798502,rs16940202,rs4510766,rs4676406,rs1801274,rs2872507,rs9822268,rs5771069,rs6017342,rs943072,rs11209026,rs3194051,rs6871626,rs7608910,rs17085007,rs6426833,rs12261843,rs4728142,rs4246905,rs6584283,rs254560,rs2297441,rs10781499,rs11676348,rs1297265,rs2155219,rs6499188,rs9268853,rs7554511,rs2838519,rs3024505,rs907611,rs941823,rs1728785,rs7524102,rs9548988,rs6017342,rs886774,rs6584283,rs7809799,rs3024493,rs4654925,rs9268923,rs5771069,rs11739663,rs1728785,rs9847710,rs798502,rs6927022,rs1016883,rs561722,rs28374715,rs6088765,rs6017342,rs483905,rs4380874,rs4728142,rs6426833,rs254560,rs17229285,rs7210086,rs1126510,rs4722672,rs2816958,rs10797432,rs11150589
Type 2 diabetes	0.99	http://www.ncbi.nlm.nih.gov/pubmed/23209189	***	rs7756992,rs13266634,rs7903146,rs6723108,rs2383208,rs11165354,rs10461617,rs8050136,rs7903146
HIV-1 control	0.6048	http://www.ncbi.nlm.nih.gov/pubmed/21051598	***	rs2523590,rs9262632,rs3131018,rs9264942,rs2395029,rs2523608,rs2255221
Psoriatic arthritis	1.0	http://www.ncbi.nlm.nih.gov/pubmed/20953186	***	rs33980500,rs12188300,rs13191343
Cleft lip	0.8	http://www.ncbi.nlm.nih.gov/pubmed/20436469	***	rs987525
Allergic rhinitis	0.8748	http://www.ncbi.nlm.nih.gov/pubmed/22036096	m**	rs4724100,rs216518,rs1044573,rs6586513,rs2155219,rs887864,rs1898671,rs6898653,rs17513503
Urinary bladder cancer	0.792	http://www.ncbi.nlm.nih.gov/pubmed/20348956	***	rs9642880,rs710521,rs798766
Primary biliary cirrhosis	2.2176	http://www.ncbi.nlm.nih.gov/pubmed/21399635	***	rs7774434,rs6441286,rs3790567,rs3745516,rs9303277,rs10488631,rs538147,rs7774434,rs6421571,rs12134279,rs1372072,rs3745516,rs7208487,rs10931468,rs17129789,rs485499,rs968451,rs12531711,rs1800693,rs8017161,rs11117432,rs12924729,rs2293370,rs6974491,rs860413,rs911263
Kidney stones	1.1	http://www.ncbi.nlm.nih.gov/pubmed/19561606	***	rs219780
Glioma	1.56	http://www.ncbi.nlm.nih.gov/pubmed/21531791	**	rs4977756,rs2736100,rs6010620,rs2252586,rs11979158
Response to cerivastatin	1.6	http://www.ncbi.nlm.nih.gov/pubmed/21386754	**	rs2819742
Parkinson's disease	1.21	http://www.ncbi.nlm.nih.gov/pubmed/21084426	**	rs11724635,rs1491942,rs6710823,rs12817488,rs11711441,rs34372695,rs2942168,rs356219,rs6599388,rs356220,rs7617877,rs3129882,rs11248051,rs356220,rs199533,rs393152,rs6812193,rs1223271,rs199533,rs7077361,rs12431733,rs823128,rs17115100,rs2736990,rs356220,rs4698412,rs4964469
Asthma	1.0	http://www.ncbi.nlm.nih.gov/pubmed/20159242	**	rs7922491,rs7130588,rs4129267,rs6503525,rs9268516,rs13408661,rs2244012
Glioblastoma	0.9	http://www.ncbi.nlm.nih.gov/pubmed/22472174	**	rs7732320
Stroke	0.9	http://www.ncbi.nlm.nih.gov/pubmed/19369658	***	rs11984041,rs12425791
Infantile hypertrophic pyloric stenosis	0.48384	http://www.ncbi.nlm.nih.gov/pubmed/22306654	**	rs573872,rs29784,rs11712066,rs1208285,rs11216185
